time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1764585715000697900,50.76169775390625,3011.6764186797664,1.2699219814484912,11.857383839337825,47.06292754075365,2961.6068271575496,330.4557099611234,6.539121324856638,3.301419856484417,11.669222772895617,8.64400874303393
1764585716000717000,51.76171704101562,3011.418138339184,1.269283567922828,11.884137075970903,47.062986150277744,2961.3485468169674,326.4464724874146,6.120642031951451,3.070446909425464,11.669149939298189,8.624674951683222
1764585717000736500,52.761736572265626,3011.0606406014413,1.1573014825922574,10.801245300418879,47.063045774921996,2960.9910490792245,323.2939163095228,7.816215098813152,4.094183810268771,11.669076719130937,8.654047075467862
1764585718000757000,53.76175708007813,3010.585384520702,1.6349805710579877,15.260763131526502,47.06310815368407,2960.5157929984853,323.29386648981927,7.816215116512051,3.0694509103399,11.66900866038654,8.654047720141099
1764585719000775700,54.76177563476563,3010.297103426419,1.1609246550310615,12.377009348099,47.063172680506824,2960.2275119042024,338.5431882810621,6.258312897613325,3.364187864337246,11.668998864218475,7.581636291073122
1764585720000795000,55.761794921875,3009.8930884161964,1.1558969441100884,13.099109768624725,47.06323026976613,2959.8234968939796,342.39041144638037,5.937977855844561,3.137962917161848,11.668978877829437,7.131174679243503
1764585721000815000,56.76181518554687,3009.738022749312,1.1599786448092875,14.864239894392504,47.063260758464736,2959.6684312270954,319.15013444316173,5.937977974472528,3.1518885849949836,11.668906875770826,6.3069203009876
1764585722000834600,57.76183447265625,3009.276077186689,1.1564000643300636,15.129168954218374,47.06328142781758,2959.206485664472,304.26017833616305,5.685013535873,3,11.668827051898031,6.1718968349224195
1764585723000853500,58.761853515625,3008.846888844855,1.159206974705667,14.703469180661067,47.063309666801686,2958.7772973226383,302.2450423833276,5.457420410916716,3,11.668755976046484,6.351505120810521
1764585724000873200,59.761873291015625,3008.0102094598114,1.2654663571546538,15.321125679221714,47.06333944046205,2957.9406179375947,303.75083616651733,6.081339634946064,3.0600762896047047,11.668678774540444,6.6322638181881475
1764585725000893200,60.76189306640625,3007.50932869222,1.2720492884324273,16.57668076977538,47.06338442802255,2957.4397371700034,317.81563285180164,6.157647817800643,3.1501404727785682,11.668636072461451,6.1508730233825215
1764585726000912400,61.761912353515626,3007.3057988192886,1.160613906856401,17.136681877481493,47.063434297690414,2957.236207297072,333.7682805991827,7.649029423597767,3.9917787422191657,11.668617354326189,5.453767194025733
1764585727000931800,62.76193188476562,3007.06819235906,1.1721926365573785,17.884906155339454,47.06348426406493,2956.9986008368433,343.0297111677676,7.328462361463324,3.8940120542431074,11.668608987955158,5.282952581608174
1764585728000951000,63.761950927734375,3006.714123720303,1.2662902505954599,19.4899760897207,47.06353087841139,2956.6445321980864,343.6196601665422,7.2735649703236875,3.756623593366873,11.668595755372895,5.242342883936918
1764585729000971000,64.76197094726562,3006.1197538003325,1.1594388806437952,17.81147540229067,47.063569062767094,2956.0501622781157,326.5917914864599,7.126835934536494,3.91882254501868,11.668545105944322,5.236726263002319
1764585730000991000,65.76199096679687,3005.6806525327265,1.1568516078713538,17.80855688674402,47.063582820400605,2955.6110610105097,301.3863426889319,6.955319930739564,3.809971385033119,11.668473703919256,5.221522280550784
1764585731001010400,66.76201049804688,3005.163702754304,1.159565447905386,16.70215919475271,47.063597355986055,2955.094111232087,295.9671089706684,6.839555776074085,3.7538572847995044,11.668400866028463,5.587554745382149
1764585732001029400,67.762029296875,3004.8608297985047,1.1580843228049449,17.677629662751592,47.06364422469189,2954.791238276288,317.7931571392968,6.839555622380297,3.731027213117283,11.668370138079199,5.271175927696004
1764585733001049000,68.76204907226563,3004.541076174006,1.1631610029658055,18.15940201786774,47.06369613802124,2954.471484651789,333.77929569702354,6.839555509426468,3.79015229549062,11.668354378181066,5.1497815623142005
1764585734001068000,69.76206811523437,3004.1870814645663,1.1625850158785744,16.853509007197648,47.06374196943811,2954.1174899423495,333.76771984292236,5.338049388008197,3,11.66832270926716,5.553005785623706
1764585735001088300,70.76208813476562,3003.7038961425424,1.1611004190332852,15.549223064751434,47.063790803535,2953.6343046203256,330.21904520700923,5.338049347383172,3,11.668277029325216,6.003907370656263
1764585736001107200,71.76210717773438,3002.9776340862736,1.267895685090267,15.565217716197282,47.06384026742112,2952.908042564057,328.06611881662536,4.8690935328305756,3,11.668226251430767,6.533122467502082
1764585737001127400,72.76212744140625,3002.198576575145,1.161032833954351,12.90460727699563,47.06389494897655,2952.1289850529283,327.0545203777906,4.869093411588361,3,11.668166134820622,7.202098276089183
1764585738001146400,73.762146484375,3000.9331457195804,1.269627116466854,12.82572892944653,47.06395492974203,2950.8635541973636,326.7397343819787,4.86909347078952,3,11.668103105035103,7.893581950406648
1764585739001165300,74.76216528320313,2999.785869062878,1.2707409980837476,11.96312502419775,47.06403563459699,2949.7162775406614,332.64091105345165,6.3522266679110295,3.411025869204743,11.66806018108188,8.460714347449533
1764585740001185800,75.76218579101563,2998.6341334488243,1.2703867635990695,11.773245655426168,47.06412464705568,2948.5645419266075,344.91256677831655,4.1761131459280145,3,11.668048323726653,8.597214854034736
1764585741001205000,76.762205078125,2997.120280704461,1.2678717728151871,11.684096874835877,47.0642060333614,2947.0506891822442,346.85957806110105,3.2857562935979985,3,11.668024486451284,8.62434282253314
1764585742001224400,77.76222436523437,2995.955913431011,1.2662435337638243,12.173843589258029,47.06425791314753,2945.8863219087943,321.57999533564663,2.764677818754088,3,11.667920944285344,8.26411632365215
1764585743001244700,78.76224462890625,2994.0849920278415,1.2681227499115397,11.743977327819808,47.06429607169476,2944.0154005056247,309.7023363316581,2.929773519131686,3,11.66781543164621,8.50931658443746
1764585744001263000,79.76226318359375,2992.2311341157183,1.2672495502540329,11.600169475327668,47.06437649616917,2942.1615425935015,328.7263225816377,2.745109073547559,3,11.667776714148898,8.525146875595595
1764585745001282300,80.7622822265625,2990.9847577288747,1.2697359832141717,12.120585573943414,47.0644574065799,2940.915166206658,347.5956360694602,2.491393993174413,3,11.667782312459138,8.236203980443651
1764585746001303300,81.76230322265624,2989.1880035214126,1.2675459960973936,11.97278660340409,47.064521336413726,2939.118411999196,330.6903586694475,2.4351689893853923,3,11.667712988206198,8.236151110486762
1764585747001321700,82.76232177734374,2987.363993752748,1.2691220983937317,11.62862038544571,47.064557325947455,2937.294402230531,310.52068479296116,2.740922302699881,3,11.667603645050937,8.498483691711872
1764585748001341700,83.762341796875,2985.9396052220836,1.2708266112997193,11.508540510400133,47.06463472936662,2935.870013699867,328.72171197181353,2.4891709359565364,3,11.667560699255496,8.636512316242504
1764585749001361400,84.762361328125,2984.288344074972,1.279327142000614,12.614701368635236,47.06471007609826,2934.218752552755,351.1223572209802,2.4981423467243378,3,11.667575719088916,7.858782682088355
1764585750001379800,85.7623798828125,2982.2358698016033,1.2688993611642323,12.14731808619816,47.06478394574311,2932.1662782793865,351.74048577735726,2.4585189157496643,3,11.667569463177829,8.051264065452465
1764585751001400600,86.76240063476563,2980.5788092017174,1.2682574737265713,13.616594936874666,47.06481459417451,2930.5092176795006,319.67047720497123,2.330298076200264,3,11.667480384150993,7.121596673386079
1764585752001420000,87.762419921875,2978.880981458351,1.2694253961719644,14.030901239190795,47.06484953740785,2928.811389936134,312.4735140490319,2.3854519128089198,3,11.667402385756088,6.903474076106255
1764585753001439000,88.76243896484375,2977.2673496771604,1.2771836213115497,14.600711094398543,47.06491935021071,2927.1977581549436,345.8324373517285,2.3092574712962315,3,11.667413668979112,6.651840842800635
1764585754001458700,89.76245874023438,2975.578283513896,1.2719750217284913,13.444248268266158,47.06499127425037,2925.5086919916794,1.2813149661174887,2.241199580077693,3,11.6674367356868,7.2758231202062795
1764585755001477600,90.7624775390625,2973.962276402861,1.2658275787940456,13.083033819218493,47.0650502053596,2923.892684880644,332.84314320428666,2.306233371823634,3,11.66736121408731,7.475813135521659
1764585756001497300,91.76249731445313,2972.231284234673,1.0349231724477592,9.919824939612793,47.06510022099111,2922.161692712456,317.9160734388252,2.216857275587377,3,11.667264472881033,8.10858583027031
1764585757001517300,92.76251733398438,2970.564580517821,1.2761501046925305,12.46048956511252,47.065180718864305,2920.494988995604,341.77222136854465,2.14600690776344,3,11.667258283749254,7.948694559088868
1764585758001535500,93.76253540039062,2968.88765687868,1.2687349192736657,12.46448656143119,47.065254053799066,2918.818065356463,358.2885545523971,2.1001473577848895,3,11.667280955586834,7.930801493823861
1764585759001555500,94.76255541992188,2967.225120040588,1.1679509224365583,10.988548407564448,47.06531777757817,2917.1555285183713,335.27643982304295,2.0710507595768197,3,11.667207884366691,8.278773600131844
1764585760001575000,95.76257495117187,2965.6888926289976,1.2687611260787077,11.644665961453233,47.065362967006706,2915.6193011067808,318.4288350697272,2.0478344418851875,3,11.667108707533506,8.50969680050799
1764585761001595400,96.76259545898438,2963.858154753223,1.2825585486883813,11.563799294868717,47.06544562897803,2913.7885632310063,335.48106099734986,2.0307184276942456,3,11.667074322196388,8.61063472113457
1764585762001615000,97.76261499023437,2962.6689789984375,1.2737157620875086,12.22087173618797,47.06552694032529,2912.5993874762207,0.6195350766526168,2.0200535157197512,3,11.66711667469819,8.168330868330267
1764585763001633800,98.7626337890625,2960.9343046816066,1.268739791338358,11.286965445292314,47.065606897733524,2910.86471315939,357.1377042611615,3.703738190315074,3,11.667112851246733,8.814797905174629
1764585764001653200,99.7626533203125,2959.774667334743,0.9034344938707635,7.821889454740834,47.06566618006638,2909.705075812526,328.90520137640084,5.439273599238419,5.035366040734533,11.667003273518807,9.113111781194625
1764585765001673000,100.7626728515625,2957.9712814865634,0.9142725064941575,7.77240249846254,47.06573861125362,2907.9016899643466,331.32649744712046,6.788881864214338,6.30946561302826,11.666943870026309,9.156998413432694
1764585766001692400,101.7626923828125,2957.0495689874515,0.914407830367817,8.73657549017416,47.06581498433219,2906.9799774652347,356.0486963396572,6.200775140191242,5.740290316375373,11.666975304500498,8.189635876021574
